imdbID,content,date,director,leadActor,rotten_tomatoes_rating
0114709,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,22 Nov 1995,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",100%
0113497,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",15 Dec 1995,Joe Johnston,"Robin Williams, Kirsten Dunst, Bonnie Hunt",52%
0113228,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",22 Dec 1995,Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret",21%
0114885,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",22 Dec 1995,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine",61%
0113041,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",08 Dec 1995,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short",52%
0113277,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,15 Dec 1995,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",88%
0114319,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",15 Dec 1995,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear",63%
0112302,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,22 Dec 1995,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Charles Rocket",25%
0114576,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,22 Dec 1995,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry",50%
0113189,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",17 Nov 1995,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco",80%
0112346,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",17 Nov 1995,Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen",91%
0112896,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.,22 Dec 1995,Mel Brooks,"Leslie Nielsen, Mel Brooks, Peter MacNicol",11%
0112453,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",22 Dec 1995,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda",56%
0113987,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",05 Jan 1996,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe",75%
0112760,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,22 Dec 1995,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella",39%
0112641,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",22 Nov 1995,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",79%
0114388,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",26 Jan 1996,Ang Lee,"Emma Thompson, Kate Winslet, James Fleet",97%
0113101,Four interlocking tales that take place in a fading hotel on New Year's Eve.,25 Dec 1995,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Tim Roth, Antonio Banderas, Sammi Davis",13%
0112281,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",10 Nov 1995,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow",21%
